Symbol,Date,Session,TimeFrame,StrategyName,StateMachine,EntryNumber,Quantity,EntryFillPrice,EntryAmount,EntryFillTime,ExitFillPrice,ExitAmount,ExitFillTime,ExitReason,Pnl,PnlPerc,NetPnl,Mfe,MfePerc,MfeTimeStamp,Mae,MaePerc,MaeTimeStamp,PnlPerc_category,MfePerc_category,SamplingData,
ETHUSDT,20240102,Ist,1,OrbManual,Breakout,5,0.0041,2384.89,9.778,04:48:00,2387.58,9.7891,05:00:00,PriceActionEod,2.69,0.1128,0.011,2389.02,0.1732,04:56:00,2384.89,0,04:48:00,-00.1 to 000.2,-00.1 to 000.2,InSample,
ETHUSDT,20240102,Ist,3,Orb,PullBack,1,0.0041,2387.89,9.7903,04:53:00,2385.06,9.7787,05:36:00,PriceActionEod,-2.83,-0.1185,-0.0116,2391.1,0.1344,05:07:00,2385.06,-0.1185,05:36:00,-00.4 to -00.1,-00.1 to 000.2,InSample,
ETHUSDT,20240102,Ist,3,OrbManual,PullBack,1,0.0041,2387.89,9.7903,04:53:00,2385.24,9.7795,05:36:00,PriceActionEod,-2.65,-0.111,-0.0109,2391.1,0.1344,05:07:00,2385.21,-0.1122,05:02:00,-00.4 to -00.1,-00.1 to 000.2,InSample,
DOGEUSDT,20240102,Ist,3,OrbManual,PullBack,1,107,0.09296,9.9467,04:53:00,0.09309,9.9606,05:12:00,PriceActionEod,0.00013,0.1398,0.0139,0.09323,0.2904,05:09:00,0.09296,0,04:53:00,-00.1 to 000.2,000.2 to 000.5,InSample,
DOGEUSDT,20240102,Ist,3,Orb,PullBack,1,107,0.09296,9.9467,04:53:00,0.09309,9.9606,05:12:00,PriceActionEod,0.00013,0.1398,0.0139,0.09323,0.2904,05:09:00,0.09296,0,04:53:00,-00.1 to 000.2,000.2 to 000.5,InSample,
DOGEUSDT,20240102,Ist,5,OrbManual,PullBack,1,107,0.09303,9.9542,04:54:00,0.09294,9.9446,05:32:00,PriceActionEod,-9.00E-05,-0.0967,-0.0096,0.09323,0.215,05:09:00,0.09294,-0.0967,05:32:00,-00.1 to 000.2,000.2 to 000.5,InSample,
DOGEUSDT,20240102,Ist,5,Orb,PullBack,1,107,0.09303,9.9542,04:54:00,0.09294,9.9446,05:32:00,PriceActionEod,-9.00E-05,-0.0967,-0.0096,0.09323,0.215,05:09:00,0.09294,-0.0967,05:32:00,-00.1 to 000.2,000.2 to 000.5,InSample,
ADAUSDT,20240102,Ist,3,OrbManual,Breakout,4,15.9,0.6289,9.9995,05:05:00,0.6281,9.9868,05:12:00,PriceActionEod,-0.0008,-0.1272,-0.0127,0.6294,0.0795,05:09:00,0.6281,-0.1272,05:12:00,-00.4 to -00.1,-00.1 to 000.2,InSample,
ADAUSDT,20240102,Ist,3,Orb,Breakout,4,15.9,0.6289,9.9995,05:05:00,0.6281,9.9868,05:12:00,PriceActionEod,-0.0008,-0.1272,-0.0127,0.6294,0.0795,05:09:00,0.6281,-0.1272,05:12:00,-00.4 to -00.1,-00.1 to 000.2,InSample,
DOGEUSDT,20240102,Ist,15,OrbManual,Breakout,1,107,0.0931,9.9617,05:14:00,0.09334,9.9874,09:53:00,PriceActionEod,0.00024,0.2578,0.0257,0.09433,1.3212,08:50:00,0.09265,-0.4834,06:59:00,000.2 to 000.5,001.1 to 001.4,InSample,
DOGEUSDT,20240102,Ist,15,Orb,Breakout,1,107,0.0931,9.9617,05:14:00,0.09337,9.9906,09:53:00,PriceActionEod,0.00027,0.29,0.0289,0.09433,1.3212,08:50:00,0.09265,-0.4834,06:59:00,000.2 to 000.5,001.1 to 001.4,InSample,
