Symbol,Date,Session,TimeFrame,StrategyName,StateMachine,EntryNumber,Quantity,EntryFillPrice,EntryAmount,EntryFillTime,ExitFillPrice,ExitAmount,ExitFillTime,ExitReason,Pnl,PnlPerc,NetPnl,Mfe,MfePerc,MfeTimeStamp,Mae,MaePerc,MaeTimeStamp,PnlPerc_category,MfePerc_category,SamplingData,
ADAUSDT,20240102,Ist,1,Orb,Breakout,1,15.9,0.6287,9.9963,03:48:00,0.6289,9.9995,03:52:00,PriceActionEod,0.0002,0.0318,0.0032,0.6293,0.0954,03:50:00,0.6287,0,03:48:00,-00.1 to 000.2,-00.1 to 000.2,InSample,
ADAUSDT,20240102,Ist,1,OrbManual,Breakout,1,15.9,0.6287,9.9963,03:48:00,0.6289,9.9995,03:52:00,PriceActionEod,0.0002,0.0318,0.0032,0.6293,0.0954,03:50:00,0.6287,0,03:48:00,-00.1 to 000.2,-00.1 to 000.2,InSample,
BTCUSDT,20240102,Ist,3,Orb,Breakout,1,0.00022,45352.02,9.9774,04:05:00,45150.97,9.9332,05:00:00,PriceActionEod,-201.05,-0.4433,-0.0442,45390,0.0837,04:14:00,45150.97,-0.4433,05:00:00,-00.7 to -00.4,-00.1 to 000.2,InSample,35
BTCUSDT,20240102,Ist,3,OrbManual,Breakout,1,0.00022,45352.02,9.9774,04:05:00,45158.81,9.9349,05:00:00,PriceActionEod,-193.21,-0.426,-0.0425,45390,0.0837,04:14:00,45158.81,-0.426,05:00:00,-00.7 to -00.4,-00.1 to 000.2,InSample,46
DOGEUSDT,20240102,Ist,3,OrbManual,Breakout,1,107,0.0929,9.9403,04:11:00,0.093,9.951,05:27:00,PriceActionEod,0.0001,0.1076,0.0107,0.09323,0.3552,05:09:00,0.09284,-0.0646,04:20:00,-00.1 to 000.2,000.2 to 000.5,InSample,
DOGEUSDT,20240102,Ist,3,Orb,Breakout,1,107,0.0929,9.9403,04:11:00,0.093,9.951,05:27:00,PriceActionEod,0.0001,0.1076,0.0107,0.09323,0.3552,05:09:00,0.09284,-0.0646,04:20:00,-00.1 to 000.2,000.2 to 000.5,InSample,
DOGEUSDT,20240102,Ist,1,Orb,PullBack,1,107,0.09302,9.9531,04:13:00,0.09293,9.9435,04:15:00,PriceActionEod,-9.00E-05,-0.0968,-0.0096,0.09302,0,04:13:00,0.09293,-0.0968,04:15:00,-00.1 to 000.2,-00.1 to 000.2,InSample,
DOGEUSDT,20240102,Ist,1,OrbManual,PullBack,1,107,0.09302,9.9531,04:13:00,0.09293,9.9435,04:15:00,PriceActionEod,-9.00E-05,-0.0968,-0.0096,0.09302,0,04:13:00,0.09293,-0.0968,04:15:00,-00.1 to 000.2,-00.1 to 000.2,InSample,
SOLUSDT,20240102,Ist,1,Orb,Breakout,4,0.089,111.2,9.8968,04:17:00,111.59,9.9315,04:32:00,PriceActionEod,0.39,0.3507,0.0347,111.76,0.5036,04:31:00,111.2,0,04:17:00,000.2 to 000.5,000.5 to 000.8,InSample,
SOLUSDT,20240102,Ist,1,OrbManual,Breakout,4,0.089,111.2,9.8968,04:17:00,111.59,9.9315,04:32:00,PriceActionEod,0.39,0.3507,0.0347,111.76,0.5036,04:31:00,111.2,0,04:17:00,000.2 to 000.5,000.5 to 000.8,InSample,
SOLUSDT,20240102,Ist,3,OrbManual,Breakout,1,0.089,111.2,9.8968,04:17:00,112.55,10.017,05:30:00,PriceActionEod,1.35,1.214,0.1202,113.15,1.7536,05:13:00,111.2,0,04:17:00,001.1 to 001.4,001.7 to 002.0,InSample,
SOLUSDT,20240102,Ist,3,Orb,Breakout,1,0.089,111.2,9.8968,04:17:00,112.55,10.017,05:30:00,PriceActionEod,1.35,1.214,0.1202,113.15,1.7536,05:13:00,111.2,0,04:17:00,001.1 to 001.4,001.7 to 002.0,InSample,
SOLUSDT,20240102,Ist,1,Orb,PullBack,1,0.089,111.2,9.8968,04:18:00,111.59,9.9315,04:32:00,PriceActionEod,0.39,0.3507,0.0347,111.76,0.5036,04:31:00,111.2,0,04:18:00,000.2 to 000.5,000.5 to 000.8,InSample,
SOLUSDT,20240102,Ist,1,OrbManual,PullBack,1,0.089,111.2,9.8968,04:18:00,111.59,9.9315,04:32:00,PriceActionEod,0.39,0.3507,0.0347,111.76,0.5036,04:31:00,111.2,0,04:18:00,000.2 to 000.5,000.5 to 000.8,InSample,
SOLUSDT,20240102,Ist,3,OrbManual,PullBack,1,0.089,111.44,9.9182,04:23:00,112.59,10.0205,05:17:00,PriceActionEod,1.15,1.0319,0.1024,113.15,1.5345,05:13:00,111.44,0,04:23:00,000.8 to 001.1,001.4 to 001.7,InSample,
SOLUSDT,20240102,Ist,3,Orb,PullBack,1,0.089,111.44,9.9182,04:23:00,112.59,10.0205,05:17:00,PriceActionEod,1.15,1.0319,0.1024,113.15,1.5345,05:13:00,111.44,0,04:23:00,000.8 to 001.1,001.4 to 001.7,InSample,
DOGEUSDT,20240102,Ist,5,OrbManual,Breakout,2,107,0.09298,9.9489,04:29:00,0.09285,9.935,05:53:00,PriceActionEod,-0.00013,-0.1398,-0.0139,0.09323,0.2689,05:09:00,0.09285,-0.1398,05:53:00,-00.4 to -00.1,000.2 to 000.5,InSample,
DOGEUSDT,20240102,Ist,5,Orb,Breakout,2,107,0.09298,9.9489,04:29:00,0.09288,9.9382,05:45:00,PriceActionEod,-0.0001,-0.1076,-0.0107,0.09323,0.2689,05:09:00,0.09288,-0.1076,05:45:00,-00.4 to -00.1,000.2 to 000.5,InSample,
DOGEUSDT,20240102,Ist,1,Orb,PullBack,2,107,0.09298,9.9489,04:29:00,0.09292,9.9424,04:31:00,PriceActionEod,-6.00E-05,-0.0645,-0.0064,0.09298,0,04:29:00,0.09292,-0.0645,04:30:00,-00.1 to 000.2,-00.1 to 000.2,InSample,
DOGEUSDT,20240102,Ist,1,OrbManual,PullBack,2,107,0.09298,9.9489,04:29:00,0.09292,9.9424,04:31:00,PriceActionEod,-6.00E-05,-0.0645,-0.0064,0.09298,0,04:29:00,0.09292,-0.0645,04:30:00,-00.1 to 000.2,-00.1 to 000.2,InSample,
DOGEUSDT,20240102,Ist,3,OrbManual,Breakout,2,107,0.09298,9.9489,04:29:00,0.09306,9.9574,05:13:00,PriceActionEod,8e-05,0.086,0.0086,0.09323,0.2689,05:09:00,0.09289,-0.0968,04:31:00,-00.1 to 000.2,000.2 to 000.5,InSample,
DOGEUSDT,20240102,Ist,3,Orb,Breakout,2,107,0.09298,9.9489,04:29:00,0.09306,9.9574,05:13:00,PriceActionEod,8e-05,0.086,0.0086,0.09323,0.2689,05:09:00,0.09289,-0.0968,04:31:00,-00.1 to 000.2,000.2 to 000.5,InSample,
ADAUSDT,20240102,Ist,3,OrbManual,Breakout,2,15.9,0.6284,9.9916,04:35:00,0.6277,9.9804,04:37:00,PriceActionEod,-0.0007,-0.1114,-0.0111,0.6284,0,04:35:00,0.6277,-0.1114,04:37:00,-00.4 to -00.1,-00.1 to 000.2,InSample,
ADAUSDT,20240102,Ist,3,Orb,Breakout,2,15.9,0.6284,9.9916,04:35:00,0.628,9.9852,04:57:00,PriceActionEod,-0.0004,-0.0637,-0.0064,0.6294,0.1591,04:38:00,0.628,-0.0637,04:57:00,-00.1 to 000.2,-00.1 to 000.2,InSample,
DOGEUSDT,20240102,Ist,3,OrbManual,Breakout,3,107,0.09293,9.9435,04:35:00,0.09306,9.9574,05:13:00,PriceActionEod,0.00013,0.1399,0.0139,0.09323,0.3228,05:09:00,0.0929,-0.0323,04:45:00,-00.1 to 000.2,000.2 to 000.5,InSample,
DOGEUSDT,20240102,Ist,3,Orb,Breakout,3,107,0.09293,9.9435,04:35:00,0.09306,9.9574,05:13:00,PriceActionEod,0.00013,0.1399,0.0139,0.09323,0.3228,05:09:00,0.0929,-0.0323,04:45:00,-00.1 to 000.2,000.2 to 000.5,InSample,
ADAUSDT,20240102,Ist,1,Orb,Breakout,4,15.8,0.6293,9.9429,04:37:00,0.6287,9.9335,04:39:00,PriceActionEod,-0.0006,-0.0953,-0.0095,0.6294,0.0159,04:38:00,0.6287,-0.0953,04:39:00,-00.1 to 000.2,-00.1 to 000.2,InSample,
ADAUSDT,20240102,Ist,1,OrbManual,Breakout,4,15.8,0.6293,9.9429,04:37:00,0.6287,9.9335,04:39:00,PriceActionEod,-0.0006,-0.0953,-0.0095,0.6294,0.0159,04:38:00,0.6287,-0.0953,04:39:00,-00.1 to 000.2,-00.1 to 000.2,InSample,
ETHUSDT,20240102,Ist,1,Orb,Breakout,3,0.0041,2386.02,9.7827,04:37:00,2387.07,9.787,05:00:00,PriceActionEod,1.05,0.044,0.0043,2389.02,0.1257,04:56:00,2383.46,-0.1073,04:39:00,-00.1 to 000.2,-00.1 to 000.2,InSample,
ETHUSDT,20240102,Ist,1,OrbManual,Breakout,3,0.0041,2386.02,9.7827,04:37:00,2387.07,9.787,05:00:00,PriceActionEod,1.05,0.044,0.0043,2389.02,0.1257,04:56:00,2383.46,-0.1073,04:39:00,-00.1 to 000.2,-00.1 to 000.2,InSample,
ADAUSDT,20240102,Ist,1,Orb,PullBack,2,15.8,0.6294,9.9445,04:38:00,0.6288,9.935,04:40:00,PriceActionEod,-0.0006,-0.0953,-0.0095,0.6294,0,04:38:00,0.6283,-0.1748,04:39:00,-00.1 to 000.2,-00.1 to 000.2,InSample,
ADAUSDT,20240102,Ist,1,OrbManual,PullBack,2,15.8,0.6294,9.9445,04:38:00,0.6288,9.935,04:40:00,PriceActionEod,-0.0006,-0.0953,-0.0095,0.6294,0,04:38:00,0.6283,-0.1748,04:39:00,-00.1 to 000.2,-00.1 to 000.2,InSample,
